#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2A7DF
#Date Time: 2022-04-09 22:30:52.302
#Sample rate: 800Hz
#Samples: 10301
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-163.63625,3.311560985064772,-0.001319543970979598
-163.635,3.311560985064772,-0.001319543970979598
-163.63375,3.311560985064772,-0.001319543970979598
-163.6325,3.311560985064772,-0.001319543970979598
-163.63125,3.311560985064772,-0.001319543970979598
-163.63,3.311560985064772,-0.001319543970979598
-163.62875,3.311560985064772,-0.001319543970979598
-163.6275,3.311560985064772,-0.001319543970979598
-163.62625,3.311560985064772,-0.001319543970979598
-163.625,3.311560985064772,-0.001319543970979598
-163.62375,3.311560985064772,-0.001319543970979598
-163.6225,3.311560985064772,-0.001319543970979598
-163.62125,3.311560985064772,-0.001319543970979598
-163.62,3.311560985064772,-0.001319543970979598
-163.61875,3.311560985064772,-0.001319543970979598
-163.6175,3.311560985064772,-0.001319543970979598
-163.61625,3.311560985064772,-0.001319543970979598
-163.615,3.311560985064772,-0.001319543970979598
-163.61375,3.311560985064772,-0.001319543970979598
-163.6125,3.311560985064772,-0.001319543970979598
-163.61125,3.311560985064772,-0.001319543970979598
-163.61,3.311560985064772,-0.001319543970979598
-163.60875,3.311560985064772,-0.001319543970979598
-163.6075,3.311560985064772,-0.001319543970979598
-163.60625,3.311560985064772,-0.001319543970979598
-163.605,3.311560985064772,-0.001319543970979598
-163.60375,3.311560985064772,-0.001319543970979598
-163.6025,3.311560985064772,-0.001319543970979598
-163.60125,3.311560985064772,-0.001319543970979598
-163.6,3.311560985064772,-0.001319543970979598
-163.59875,3.311560985064772,-0.001319543970979598
-163.5975,3.311560985064772,-0.001319543970979598
